INLINE MonsterEquipTable,ClassID,EquippedT1,ET2,ET3,ET4,ET5,DropTable1,DT2,DT3,DT4,DT5,EquippedTableChance,ET2Chance,ET3Chance,ET4Chance,ET5Chance,DropTable1Chance,DT2Chance,DT3Chance,DT4Chance,DT5Chance,ItemChanceTable1,ICT2,ICT3,ICT4,ICT5,DropChanceTable1,DCT2,DCT3,DCT4,DCT4,Terminator
Unused7,Unused7ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
GorgonEgg2,GorgonEgg2ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused8,Unused8ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Deathgoyle,DeathgoyleID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
DracoZombie,DracoZombieID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
DemonKing,DemonKingID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused8,Unused81ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused9,Unused9ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused10,Unused10ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused11,Unused11ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused12,Unused12ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused13,Unused13ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Civilian1,Civilian1ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Civilian2,Civilian2ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Civilian3,Civilian3ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Civilian4,Civilian4ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Civilian5,Civilian5ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused14,Unused14ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused15,Unused15ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
sfx,sfxID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
openball,openballID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
pokeballred,pokeballredID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
pokeballgold,pokeballgoldID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused16,Unused16ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused17,platformID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
blank,blankID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused18,Unused18ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Bush,BushID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
ElderBael,ElderBaelID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Journeyman,JourneymanID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Pupil,PupilID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Muk,MukID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Shellder,ShellderID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Cloyster,CloysterID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Gastly,GastlyID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Haunter,HaunterID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Gengar,GengarID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Onix,OnixID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Drowzee,DrowzeeID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Hypno,HypnoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Krabby,KrabbyID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Kingler,KinglerID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Voltorb,VoltorbID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Electrode,ElectrodeID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Exeggcute,ExeggcuteID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Exeggutor,ExeggutorID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Cubone,CuboneID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Marowak,MarowakID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Hitmonlee,HitmonleeID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Hitmonchan,HitmonchanID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Lickitung,LickitungID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Koffing,KoffingID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Weezing,WeezingID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Rhyhorn,RhyhornID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Rhydon,RhydonID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Chansey,ChanseyID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Tangela,TangelaID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Kangaskhan,KangaskhanID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Horsea,HorseaID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Seadra,SeadraID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Goldeen,GoldeenID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Seaking,SeakingID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Staryu,StaryuID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Starmie,StarmieID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Mr. Mime,MrMimeID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Scyther,ScytherID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Jynx,JynxID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Electabuzz,ElectabuzzID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Magmar,MagmarID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Pinsir,PinsirID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Tauros,TaurosID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Magikarp,MagikarpID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Gyarados,GyaradosID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Lapras,LaprasID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Ditto,DittoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Eevee,EeveeID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Vaporeon,VaporeonID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Jolteon,JolteonID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Flareon,FlareonID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Porygon,PorygonID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Omanyte,OmanyteID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Omastar,OmastarID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Kabuto,KabutoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Kabutops,KabutopsID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Aerodactyl,AerodactylID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Snorlax,SnorlaxID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Articuno,ArticunoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Zapdos,ZapdosID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Moltres,MoltresID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Dratini,DratiniID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Dragonair,DragonairID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Dragonite,DragoniteID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Mewtwo,MewtwoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Mew,MewID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused19,Unused19ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused20,Unused20ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused21,Unused21ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused22,Unused22ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused23,Unused23ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
